age,p_mort_men,p_mort_women,p_cvd_mort_men,p_cvd_mort_women
168,0.236207165,0.207528923,0.073956386,0.066167309
169,0.236207165,0.207528923,0.073956386,0.066167309
170,0.236207165,0.207528923,0.073956386,0.066167309
171,0.236207165,0.207528923,0.073956386,0.066167309
172,0.236207165,0.207528923,0.073956386,0.066167309
173,0.236207165,0.207528923,0.073956386,0.066167309
174,0.236207165,0.207528923,0.073956386,0.066167309
175,0.236207165,0.207528923,0.073956386,0.066167309
176,0.236207165,0.207528923,0.073956386,0.066167309
177,0.236207165,0.207528923,0.073956386,0.066167309
178,0.236207165,0.207528923,0.073956386,0.066167309
179,0.236207165,0.207528923,0.073956386,0.066167309
180,0.236207165,0.207528923,0.073956386,0.066167309
181,0.236207165,0.207528923,0.073956386,0.066167309
182,0.236207165,0.207528923,0.073956386,0.066167309
183,0.236207165,0.207528923,0.073956386,0.066167309
184,0.236207165,0.207528923,0.073956386,0.066167309
185,0.236207165,0.207528923,0.073956386,0.066167309
186,0.236207165,0.207528923,0.073956386,0.066167309
187,0.236207165,0.207528923,0.073956386,0.066167309
188,0.236207165,0.207528923,0.073956386,0.066167309
189,0.236207165,0.207528923,0.073956386,0.066167309
190,0.236207165,0.207528923,0.073956386,0.066167309
191,0.236207165,0.207528923,0.073956386,0.066167309
192,0.236207165,0.207528923,0.073956386,0.066167309
193,0.236207165,0.207528923,0.073956386,0.066167309
194,0.236207165,0.207528923,0.073956386,0.066167309
195,0.236207165,0.207528923,0.073956386,0.066167309
196,0.236207165,0.207528923,0.073956386,0.066167309
197,0.236207165,0.207528923,0.073956386,0.066167309
198,0.236207165,0.207528923,0.073956386,0.066167309
199,0.236207165,0.207528923,0.073956386,0.066167309
200,0.236207165,0.207528923,0.073956386,0.066167309
201,0.236207165,0.207528923,0.073956386,0.066167309
202,0.236207165,0.207528923,0.073956386,0.066167309
203,0.236207165,0.207528923,0.073956386,0.066167309
204,0.236207165,0.207528923,0.073956386,0.066167309
205,0.236207165,0.207528923,0.073956386,0.066167309
206,0.236207165,0.207528923,0.073956386,0.066167309
207,0.236207165,0.207528923,0.073956386,0.066167309
